name,faction,posx,posy,power,image
董卓,他,368,270,75,dong-zhuo.jpg
劉焉,他,264,429,25,liu-yan.jpg
孫堅,吳,562,505,35,sun-jian.jpg
公孫瓚,他,773,76,25,gongsun-zan.jpg
袁紹,他,686,125,40,yuan-shao.jpg
曹操,魏,630,270,37,cao-cao-(young).jpg
劉表,他,489,368,30,liu-biao.jpg
馬騰,他,226,136,25,ma-teng.jpg
劉備,蜀,711,168,20,liu-bei-(young).jpg
陶謙,他,781,309,23,tao-qian.jpg
袁術,他,537,322,30,yuan-shu.jpg
孔融,他,810,187,20,kong-rong.jpg
劉岱,他,674,229,15,liu-dai.jpg
劉虞,他,671,74,10,liu-yu.jpg
韓馥,他,577,200,10,han-fu.jpg
士燮,他,480,650,15,undefined
王朗,他,871,461,15,wang-lang.jpg
